X,Y,Nr_Id,Specia,Diametru,Inaltime,Stare_Viab,Grad_Intre,Risc,Protejat,Data,Tip,Sp_Verde,Localitate,Strada,icon_url
24.2664958993404,45.6674418031667,"991",Tei,"61","5,6","4","4",Nu,Nu,26 iulie- 10 august,Foioasa,"730",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2664606334598,45.6673575551713,"992",Tuia,"70","5,6","4","3",Nu,Nu,26 iulie- 10 august,Ornamental,"955",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2665418825318,45.6672354257284,"993",Tuia,"64","5,6","4","3",Nu,Nu,26 iulie- 10 august,Ornamental,"954",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2666396920931,45.6671817415435,"994",Tei,"60","5,7","4","4",Nu,Nu,26 iulie- 10 august,Foioasa,"726",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2666640014362,45.6671306440339,"995",Tei,"44","5,6","4","3",Nu,Nu,26 iulie- 10 august,Foioasa,"726",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2666926145825,45.6670841641388,"996",Tei,"62","5,8","4","4",Nu,Nu,26 iulie- 10 august,Foioasa,"726",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2667224856239,45.6670249425781,"997",Tei,"55","5,7","4","4",Nu,Nu,26 iulie- 10 august,Foioasa,"726",Talmaciu,Strada Nicolae Balcescu,./0.png
24.266747518808,45.6669741047051,"998",Tei,"52","5,8","4","4",Nu,Nu,26 iulie- 10 august,Foioasa,"726",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2667854485864,45.6669243698245,"999",Tei,"75","5,9","4","3",Nu,Nu,26 iulie- 10 august,Foioasa,"726",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2667501739581,45.6668685538144,"1000",Salcam,"15","5,6","4","2",Nu,Nu,26 iulie- 10 august,Foioasa,"953",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2668833857658,45.666207969196,"1001",Nuc,"38","11,1","4","2",Nu,Da,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.266857969544,45.6661863310223,"1002",Nuc,"33","11,2","4","2",Nu,Da,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2668622503607,45.6663515409489,"1003",Molid,"52","21,4","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2668465203607,45.6663538309489,"1004",Molid,"9,5","30","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2668334498301,45.666358231088,"1005",Molid,"22","8,6","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2668123274341,45.6663636200526,"1006",Molid,"68","21,5","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2667285969468,45.6663222153246,"1007",Prun,"15","4,6","4","4",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2665904375933,45.6662650767195,"1008",Corcodus,"11","5,8","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2664454326916,45.6663108297441,"1009",Corcodus,"8","4,9","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2664224048875,45.6663474007416,"1010",Corcodus,"18","6,2","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2663921592921,45.6664629737441,"1011",Prun,"9","3,2","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2664195263399,45.6665115990787,"1012",Prun,"16","3,8","4","3",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2659749103612,45.6664696409491,"1013",Molid,"41","21,5","4","3",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2656391728489,45.6665991339023,"1014",Molid,"52","20,4","4","4",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2655797252758,45.6666811140521,"1015",Soc,"5","2,8","4","1",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2655363630989,45.6667290285413,"1016",Tuia Occidental,"16","6","4","2",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2656015841627,45.6667059895195,"1017",Tuia Occidental,"17","6,1","4","2",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2656222070421,45.666728052067,"1018",Tuia,"4","2,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2656041289317,45.6667338003985,"1019",Tuia,"3","2,2","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2655804454167,45.6667509873672,"1020",Visin,"9","6,8","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2655887987176,45.6667796006833,"1021",Visin,"8","5,8","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.265603117747,45.6667970326763,"1022",Visin,"12","6,2","4","2",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2656601773426,45.6666336936662,"1023",Molid,"41","11,5","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2657482876831,45.6667094852494,"1024",Molid,"58","19,5","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2656330307383,45.6668178801433,"1025",Molid,"42","14,2","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2657523003614,45.666884480949,"1026",Molid,"43","20,7","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.265660874652,45.666857838899,"1027",Molid,"41","21,5","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2656241063835,45.6669159957373,"1028",Corcodus,"21","6,8","4","1",Nu,Nu,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2656475663315,45.6669574562017,"1029",Nuc,"15","7,7","4","2",Nu,Da,26 iulie- 10 august,Pom,"953",Talmaciu,Strada Nicolae Balcescu,./1.png
24.2653887099455,45.6670751247645,"1030",Molid,"40","18,1","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"837",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2653909416024,45.6671822371172,"1031",Molid,"51","18,6","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"837",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2652501727139,45.6672114185915,"1032",Molid,"45","18,1","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"837",Talmaciu,Strada Nicolae Balcescu,./2.png
24.265601763585,45.6671637069625,"1033",Salcam,"7","4,9","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"837",Talmaciu,Strada Nicolae Balcescu,./0.png
24.26564524685,45.6671481776133,"1034",Salcam,"8","6,2","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"837",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2656908819754,45.6671349570762,"1035",Salcam,"7","5,5","4","1",Nu,Nu,26 iulie- 10 august,Foioasa,"837",Talmaciu,Strada Nicolae Balcescu,./0.png
24.265820750782,45.6670355811388,"1036",Tuia,"13","6,4","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2657932261048,45.6670267338885,"1037",Tuia,"16","7,1","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2658202080805,45.6669937584379,"1038",Molid,"56","19,5","4","2",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2658890491331,45.6670413762379,"1039",Tuia,"16","4,5","4","3",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2658765217732,45.6668872784341,"1040",Molid,"59","19,4","4","3",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2661590909513,45.6669304084792,"1041",Molid,"56","17,8","4","3",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2662164459399,45.6669386828295,"1042",Rachita,"18","6,2","4","3",Nu,Nu,26 iulie- 10 august,Foioasa,"953",Talmaciu,Strada Nicolae Balcescu,./0.png
24.2662138512884,45.6668869021017,"1043",Tuia,"8","5,3","4","3",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2661901979684,45.6669017944347,"1444",Tuia,"9","5,8","4","4",Nu,Nu,26 iulie- 10 august,Ornamental,"953",Talmaciu,Strada Nicolae Balcescu,./3.png
24.2661918776202,45.6668291316411,"1045",Molid,"54","19,4","4","3",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2659852873043,45.6667191726004,"1046",Molid,"37","18,1","4","3",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
24.2662686083624,45.6667464975239,"1047",Molid,"51","19,5","4","3",Nu,Nu,26 iulie- 10 august,Conifer,"953",Talmaciu,Strada Nicolae Balcescu,./2.png
